timestamp,point_index,x_m,y_m,z_m,translation_min_mm,translation_max_mm,rotation_min_deg,rotation_max_deg
2026-09-03 21:47:20,2914760,1.148738,5.758768,0.610820,5.6370,6.0451,,
2026-09-03 21:47:25,2795012,1.157832,4.926079,0.651136,6.2412,6.5158,,
2026-09-03 21:47:28,2654103,1.175523,4.189499,0.633815,6.2358,6.6053,,
2026-09-03 21:47:30,3250114,1.217067,5.806875,1.273430,3.9861,4.1225,,
2026-09-03 21:47:33,3379317,1.208094,4.972933,1.226328,4.1358,4.9904,,
2026-09-03 21:47:34,2641742,1.206477,4.252162,1.194383,5.1269,10.7950,,
2026-09-03 21:47:38,2453940,1.230397,3.251125,1.206428,0.0000,4.6871,,
2026-09-03 21:47:40,3647016,1.552741,3.252178,1.671705,2.0271,2.1361,,
2026-09-03 21:47:42,3502627,1.493807,4.159976,1.628833,2.2647,2.5142,,
2026-09-03 21:47:43,3333450,1.355482,5.253149,1.495103,2.9721,3.1977,,
2026-09-03 21:47:45,3234647,1.445907,5.886279,1.603344,2.4629,2.5454,,
2026-09-03 21:47:46,5936475,1.822767,5.113421,1.831110,0.0000,0.0000,,
2026-09-03 21:47:47,5730495,1.917883,4.213558,1.868917,0.0000,0.0000,,
2026-09-03 21:47:50,2948225,1.269880,5.833580,0.296521,0.0000,0.0000,,
2026-09-03 21:47:52,2786047,1.292485,4.989746,0.294698,0.0000,0.0000,,
2026-09-03 21:47:53,2602881,1.279671,3.966612,0.356456,0.0000,0.0000,,
2026-09-03 21:47:53,1237536,1.278816,3.506333,0.371907,0.0000,1.2689,,
2026-09-03 21:47:54,2536006,1.498394,3.595227,0.079131,0.0000,0.0000,,
2026-09-03 21:47:55,1913328,1.449625,4.167157,0.114594,0.0000,0.0000,,
2026-09-03 21:47:56,2810378,1.544410,5.132062,0.008286,0.0000,0.0000,,
2026-09-03 21:47:57,2978559,1.522683,5.936936,0.002062,0.0000,0.0000,,
2026-09-03 21:48:06,3766344,1.069724,2.410633,1.460862,3.6900,4.0872,,
2026-09-03 21:48:07,3989133,1.076456,2.101771,1.675514,0.0000,0.0000,,
2026-09-03 21:48:09,3798653,1.073667,2.056854,1.126602,5.0506,5.2188,,
2026-09-03 21:48:10,3763716,1.067269,2.455501,1.098140,3.7846,4.2420,,
2026-09-03 21:48:13,2338871,1.068271,2.288858,0.523689,0.0000,0.0000,,
2026-09-03 21:48:17,1046838,1.418114,1.687971,1.671817,0.0000,0.0000,,
2026-09-03 21:48:17,688417,1.710992,1.690687,1.586843,3.4665,3.6099,,
2026-09-03 21:48:17,403495,1.940214,1.691343,1.648625,0.0000,0.0000,,
2026-09-03 21:48:20,994842,1.419249,1.682837,1.057482,0.0000,0.0000,,
2026-09-03 21:48:20,399398,1.901479,1.691063,1.048707,1.0958,1.2430,,
2026-09-03 21:48:22,983170,1.353197,1.681259,0.667494,1.9297,2.0367,,
2026-09-03 21:48:23,738944,1.614964,1.685042,0.682003,0.0000,2.5643,,
2026-09-03 21:48:23,552502,2.063204,1.693028,0.720155,0.0000,2.6071,,
2026-09-03 21:48:35,708961,1.732570,1.685570,0.197624,0.0000,0.0000,,
2026-09-03 21:48:36,875120,1.377013,1.680469,-0.091339,0.0000,0.0000,,
2026-09-03 21:48:36,353332,2.076036,1.692171,0.172848,0.0000,4.4067,,
2026-09-03 21:48:39,195805,2.409349,1.430639,1.077371,3.6555,3.9273,,
2026-09-03 21:48:40,186364,2.408470,1.497107,0.835480,4.2184,4.3805,,
2026-09-03 21:48:40,209921,2.411818,1.361869,0.720171,4.3870,4.5107,,
2026-09-03 21:48:42,192700,2.412406,1.496372,0.290261,0.0000,0.0000,,
2026-09-03 21:48:44,3841500,2.147001,1.362645,1.689194,0.0000,4.3260,,
